2026-03-10 11:14 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:38.1 Max:52.1] | RAM_USAGE [Min:24.4 Max:27.1] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.6 Max:19.9]
2026-03-10 11:15 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:37.1 Max:53.3] | RAM_USAGE [Min:24.2 Max:27.7] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.5 Max:20.0]
2026-03-10 11:16 - CPU_TEMP [Min:42.5 Max:44.6] | CPU_USAGE [Min:37.1 Max:44.1] | RAM_USAGE [Min:24.3 Max:26.5] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:18.3 Max:20.0]
2026-03-10 11:17 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.7 Max:47.8] | RAM_USAGE [Min:24.2 Max:26.7] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:18.4 Max:20.0]
2026-03-10 11:18 - CPU_TEMP [Min:41.9 Max:45.2] | CPU_USAGE [Min:36.8 Max:45.9] | RAM_USAGE [Min:24.3 Max:27.0] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.2]
2026-03-10 11:19 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.9 Max:44.6] | RAM_USAGE [Min:24.2 Max:27.3] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:18.3 Max:20.1]
2026-03-10 11:20 - CPU_TEMP [Min:42.5 Max:44.6] | CPU_USAGE [Min:37.0 Max:49.0] | RAM_USAGE [Min:24.3 Max:27.2] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.5 Max:20.3]
2026-03-10 11:21 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.5 Max:47.4] | RAM_USAGE [Min:24.3 Max:27.4] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.5 Max:20.0]
2026-03-10 11:22 - CPU_TEMP [Min:41.9 Max:45.2] | CPU_USAGE [Min:35.6 Max:43.6] | RAM_USAGE [Min:24.3 Max:27.5] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.2]
2026-03-10 11:23 - CPU_TEMP [Min:42.5 Max:44.6] | CPU_USAGE [Min:36.3 Max:47.5] | RAM_USAGE [Min:24.2 Max:27.0] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.6 Max:20.1]
2026-03-10 11:24 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.6 Max:47.7] | RAM_USAGE [Min:24.1 Max:26.9] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.0]
2026-03-10 11:25 - CPU_TEMP [Min:41.9 Max:45.2] | CPU_USAGE [Min:36.8 Max:44.5] | RAM_USAGE [Min:24.1 Max:27.7] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:18.3 Max:20.0]
2026-03-10 11:26 - CPU_TEMP [Min:41.9 Max:44.6] | CPU_USAGE [Min:37.2 Max:50.0] | RAM_USAGE [Min:24.2 Max:27.8] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:18.9 Max:20.0]
2026-03-10 11:27 - CPU_TEMP [Min:41.9 Max:45.2] | CPU_USAGE [Min:37.4 Max:48.1] | RAM_USAGE [Min:24.3 Max:26.7] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.0]
2026-03-10 11:28 - CPU_TEMP [Min:41.9 Max:45.2] | CPU_USAGE [Min:36.3 Max:43.3] | RAM_USAGE [Min:24.3 Max:28.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.9 Max:20.0]
2026-03-10 11:29 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:37.2 Max:51.6] | RAM_USAGE [Min:24.2 Max:28.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.0]
2026-03-10 11:30 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.4 Max:44.3] | RAM_USAGE [Min:24.3 Max:27.4] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.0]
2026-03-10 11:31 - CPU_TEMP [Min:41.9 Max:45.2] | CPU_USAGE [Min:36.5 Max:46.0] | RAM_USAGE [Min:24.2 Max:27.3] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 11:32 - CPU_TEMP [Min:41.9 Max:45.2] | CPU_USAGE [Min:36.6 Max:48.9] | RAM_USAGE [Min:24.4 Max:28.4] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.9 Max:20.4]
2026-03-10 11:33 - CPU_TEMP [Min:41.9 Max:45.2] | CPU_USAGE [Min:36.8 Max:46.8] | RAM_USAGE [Min:24.1 Max:27.9] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.7 Max:20.0]
2026-03-10 11:34 - CPU_TEMP [Min:41.9 Max:45.2] | CPU_USAGE [Min:37.2 Max:54.5] | RAM_USAGE [Min:24.0 Max:27.1] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:22.5]
2026-03-10 11:35 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:42.8 Max:55.2] | RAM_USAGE [Min:24.1 Max:26.1] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.5 Max:19.8]
2026-03-10 11:36 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:44.2 Max:55.0] | RAM_USAGE [Min:24.1 Max:26.5] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.3 Max:19.1]
2026-03-10 11:37 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:42.4 Max:54.4] | RAM_USAGE [Min:24.1 Max:26.9] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.5 Max:19.2]
2026-03-10 11:38 - CPU_TEMP [Min:43.0 Max:45.8] | CPU_USAGE [Min:43.4 Max:56.1] | RAM_USAGE [Min:24.2 Max:26.1] | GPU_USAGE [Min:2.5 Max:4.0] | NPU_USAGE [Min:17.5 Max:19.3]
2026-03-10 11:39 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:43.0 Max:54.2] | RAM_USAGE [Min:24.1 Max:26.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.5 Max:19.2]
2026-03-10 11:40 - CPU_TEMP [Min:43.0 Max:46.3] | CPU_USAGE [Min:43.6 Max:56.1] | RAM_USAGE [Min:24.3 Max:26.4] | GPU_USAGE [Min:2.7 Max:4.0] | NPU_USAGE [Min:17.5 Max:19.1]
2026-03-10 11:41 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:44.4 Max:55.1] | RAM_USAGE [Min:24.1 Max:26.2] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:17.5 Max:19.1]
